2019,02,11,08,00,09,15,2,Besprechung
2019,02,11,09,15,11,45,2,Zephyr
2019,02,11,13,00,14,00,2,Dokumentation
2019,02,11,14,00,15,35,2,Zephyr
2019,02,12,10,30,11,10,3,Topologie
2019,02,12,11,10,12,05,2,Zephyr
2019,02,12,13,30,14,50,1,Zephyr
2019,02,12,15,05,16,30,2,Zephyr
2019,02,12,16,30,17,45,2,Besprechung
2019,02,12,17,45,18,30,2,Zephyr
2019,02,12,20,00,22,30,3,Zephyr
2019,02,13,08,15,11,45,2,Zephyr
2019,02,13,12,30,15,30,2,Zephyr
2019,02,14,09,50,11,45,2,Reliable Message
2019,02,14,13,00,17,55,2,Reliable Message
2019,02,14,20,30,21,20,3,Reliable Message
2019,02,15,09,35,11,40,3,Zephyr
2019,02,15,20,55,21,45,3,Zephyr
2019,02,16,10,40,11,50,2,Reliable Message
2019,02,16,16,30,18,40,3,Reliable Message
2019,02,17,08,40,11,45,3,Reliable Message
2019,02,18,10,00,10,40,2,Team
2019,02,18,10,40,11,05,2,String Model
2019,02,18,14,30,17,50,2,String Model
2019,02,19,08,20,11,30,2,Reliable Message
2019,02,19,12,40,13,50,2,Reliable Message
2019,02,19,15,45,17,40,1,Reliable Message
2019,02,20,09,00,10,50,2,Besprechung
2019,02,20,14,15,15,30,2,Team
2019,02,20,15,45,17,15,2,Reliable Message
2019,02,21,08,15,12,05,2,Reliable Message
2019,02,21,13,30,15,00,1,Reliable Message
2019,02,21,15,00,15,40,2,Reliable Message
2019,02,21,15,40,16,30,2,Team
2019,02,21,16,30,16,50,2,Reliable Message
2019,02,21,16,50,17,15,3,Team
2019,02,21,17,15,17,40,2,Zephyr
2019,02,22,13,45,16,10,2,LEDCity
2019,02,23,08,25,09,20,2,Konzept
2019,02,25,09,50,11,35,2,Zephyr
2019,02,25,13,45,14,30,2,Zephyr
2019,02,25,15,00,16,35,1,Zephyr
2019,02,26,08,20,09,45,1,Team
2019,02,26,09,45,11,10,2,Serial
2019,02,26,16,20,16,35,1,Serial
2019,02,26,16,35,18,20,3,Serial
2019,02,26,20,45,21,20,3,Serial
2019,03,02,16,40,18,35,1,Zephyr
2019,03,03,10,20,10,55,2,Zephyr
2019,03,03,10,55,11,50,2,Zephyr
